medium	description	compound	name
Base	Rhodobacter sphaeroides base medium	2pg	2_Phospho_D_glycerate_e
Base	Rhodobacter sphaeroides base medium	gmp	GMP_e
Base	Rhodobacter sphaeroides base medium	pep	Phosphoenolpyruvate_e
Base	Rhodobacter sphaeroides base medium	g6p	D_glucose_6_phosphate_e
Base	Rhodobacter sphaeroides base medium	gam6p	D_Glucosamine_phosphate_e
Base	Rhodobacter sphaeroides base medium	cmp	CMP_e
Base	Rhodobacter sphaeroides base medium	man6p	D_mannose_6_phosphate_e
Base	Rhodobacter sphaeroides base medium	pser-L	phosphoserine_e
Base	Rhodobacter sphaeroides base medium	ump	UMP_e
Base	Rhodobacter sphaeroides base medium	dtmp	dTMP_e
Base	Rhodobacter sphaeroides base medium	tmp	Trimetaphosphate_e
Base	Rhodobacter sphaeroides base medium	glyc2p	Glycerol_2_phosphate_e
Base	Rhodobacter sphaeroides base medium	2pglyc	2_Phosphoglycolate_e
Base	Rhodobacter sphaeroides base medium	6pgc	6_Phospho_D_gluconate_e
Base	Rhodobacter sphaeroides base medium	35ccmp	3_5_Cyclic_CMP_e
Base	Rhodobacter sphaeroides base medium	argp	Phosphoarginine_e
Base	Rhodobacter sphaeroides base medium	pser-D	D_O_Phosphoserine_e
Base	Rhodobacter sphaeroides base medium	tyrp	Phosphotyrosine_e
Base	Rhodobacter sphaeroides base medium	Phosphocreatine	Phosphocreatine_e
Base	Rhodobacter sphaeroides base medium	ethamp	Phosphoethanolamine_e
Base	Rhodobacter sphaeroides base medium	s	S_e
Base	Rhodobacter sphaeroides base medium	cys-D	D_Cysteine_e
Base	Rhodobacter sphaeroides base medium	tttnt	Tetrathionate_e
Base	Rhodobacter sphaeroides base medium	2doxg6p	2_Deoxy_D_glucose_6_phosphate_e
Base	Rhodobacter sphaeroides base medium	2dglc	2_Deoxy_D_glucose_e
Base	Rhodobacter sphaeroides base medium	glycogen	Glycogen_e
Base	Rhodobacter sphaeroides base medium	Hydracrylic_acid	Hydracrylic_acid_e
Base	Rhodobacter sphaeroides base medium	Creatine	Creatine_e
Base	Rhodobacter sphaeroides base medium	Fosfonet	Fosfonet_e
Base	Rhodobacter sphaeroides base medium	thrp	L_Threonine_phosphate_e
Base	Rhodobacter sphaeroides base medium	Cystathionine	Cystathionine_e
Base	Rhodobacter sphaeroides base medium	met-D	D_Methionine_e
Base	Rhodobacter sphaeroides base medium	Hypotaurine	Hypotaurine_e
Base	Rhodobacter sphaeroides base medium	galctr-D	D_Mucic_acid_e
